text,label
Firepower 2100,device type
Firewall-38,hostname
255.0.0.0,subnet mask
255.255.248.0,subnet mask
Windows Server,device type
Serial7/17,interface
HTTP,protocol
Catalyst 2960,device type
248.9.28.168,ip address
240.101.41.54,ip address
f9:7d:0c:21:5f:5c,mac address
16.3.118.65,ip address
.130.155.11,uncomplete_ip
show ip interface brief,configuration command
Loopback633,interface
ip routing,configuration command
cd:a2:ad:b0:7b:94,mac address
VRRP,protocol
line vty 0 4,configuration command
VRRP,protocol
1484,vlan id
2840,vlan id
71.174,uncomplete_ip
a3:2f:00:53:89:96,mac address
255.255.255.192,subnet mask
2221,vlan id
77:a1:51:8f:67:55,mac address
Catalyst 2960,device type
2532,vlan id
2210,vlan id
.28.214,uncomplete_ip
Port-channel792,interface
255.255.255.252,subnet mask
show running-config,configuration command
.94.200,uncomplete_ip
NTP,protocol
51:9b:2d:2f:61:bf,mac address
114.252.56.209,ip address
1199,vlan id
255.255.255.128,subnet mask
37.171.210.4,ip address
.97.214,uncomplete_ip
ca:31:8e:7a:d0:36,mac address
.78.81.67,uncomplete_ip
255.255.255.192,subnet mask
enable secret,configuration command
GLBP,protocol
255.255.255.192,subnet mask
enable secret,configuration command
215.189,uncomplete_ip
Catalyst 2960,device type
Telnet,protocol
.132.239.230,uncomplete_ip
.206.161.111,uncomplete_ip
255.0.0.0,subnet mask
Access-13,hostname
MSTP,protocol
Catalyst 9300,device type
1174,vlan id
TenGigabitEthernet0/39,interface
f2:51:48:3c:cb:6b,mac address
Loopback272,interface
router ospf,configuration command
e2:d6:13:7a:fc:e2,mac address
255.255.248.0,subnet mask
STP,protocol
Router-54,hostname
Switch-58,hostname
251,vlan id
TFTP,protocol
1849,vlan id
GigabitEthernet4/29,interface
255.255.255.240,subnet mask
HSRP,protocol
255.255.255.252,subnet mask
PC-92,hostname
Cisco 1941,device type
255.255.255.240,subnet mask
255.0.0.0,subnet mask
255.255.248.0,subnet mask
.154.27,uncomplete_ip
Core-12,hostname
255.255.248.0,subnet mask
Meraki MR46,device type
3386,vlan id
Catalyst 9300,device type
.71.213,uncomplete_ip
255.0.0.0,subnet mask
3b:f4:ef:1c:74:f9,mac address
2453,vlan id
163.28.106.144,ip address
260,vlan id
Catalyst 2960,device type
229.247,uncomplete_ip
255.255.255.128,subnet mask
81:c3:35:82:9e:3a,mac address
12.32,uncomplete_ip
ip nat inside,configuration command
.193.143.27,uncomplete_ip
b1:a0:4b:fe:9b:49,mac address
94:7c:20:78:fd:0e,mac address
35.218,uncomplete_ip
Cisco 4331,device type
Catalyst 2960,device type
ip access-group,configuration command
STP,protocol
Linux Server,device type
255.255.255.0,subnet mask
Linux Server,device type
TFTP,protocol
Dist-97,hostname
255.0.0.0,subnet mask
25.96.133.118,ip address
Catalyst 3560,device type
Catalyst 9300,device type
255.0.0.0,subnet mask
06:65:ed:29:ca:2a,mac address
3127,vlan id
255.255.248.0,subnet mask
1994,vlan id
Tunnel2248,interface
line vty 0 4,configuration command
52.116,uncomplete_ip
186.66,uncomplete_ip
RSTP,protocol
255.255.248.0,subnet mask
255.255.255.240,subnet mask
2352,vlan id
65:0b:f4:29:9b:b1,mac address
945,vlan id
router ospf,configuration command
255.255.255.0,subnet mask
1729,vlan id
255.255.255.0,subnet mask
255.255.255.128,subnet mask
RSTP,protocol
Cisco 1941,device type
TenGigabitEthernet5/35,interface
.98.113.252,uncomplete_ip
.52.170,uncomplete_ip
Printer-76,hostname
Cisco 2901,device type
NTP,protocol
3127,vlan id
3203,vlan id
3802,vlan id
36.29.240.130,ip address
.158.35.77,uncomplete_ip
543,vlan id
255.255.0.0,subnet mask
HSRP,protocol
TCP,protocol
TenGigabitEthernet4/12,interface
1664,vlan id
146.230.102.245,ip address
FastEthernet7/17,interface
UDP,protocol
255.255.255.128,subnet mask
4a:8a:75:12:40:9b,mac address
.27.137.209,uncomplete_ip
PAgP,protocol
71:5f:30:71:30:a5,mac address
RSTP,protocol
255.255.255.252,subnet mask
71:1c:e6:14:46:36,mac address
158.126.187.203,ip address
2653,vlan id
Serial7/24,interface
Linux Server,device type
3178,vlan id
237.59,uncomplete_ip
Access-61,hostname
enable secret,configuration command
184.162.7.5,ip address
Firepower 2100,device type
Ethernet7/39,interface
Windows Server,device type
Nexus 9000,device type
21.226.127.161,ip address
line vty 0 4,configuration command
Port-channel301,interface
347,vlan id
line vty 0 4,configuration command
Cisco 4331,device type
Linux Server,device type
162.22.82.19,ip address
Edge-61,hostname
252.117.161.200,ip address
4b:18:d9:d1:f1:84,mac address
MSTP,protocol
255.255.255.240,subnet mask
3343,vlan id
ISIS,protocol
255.255.255.252,subnet mask
show running-config,configuration command
2712,vlan id
spanning-tree mode rapid-pvst,configuration command
Telnet,protocol
140.250.243.143,ip address
Ethernet4/40,interface
1716,vlan id
ip nat outside,configuration command
ip access-group,configuration command
Access-96,hostname
MSTP,protocol
switchport mode access,configuration command
18:2d:33:b8:93:de,mac address
130.125,uncomplete_ip
d2:12:23:96:17:2b,mac address
9a:94:19:95:2e:04,mac address
234.235,uncomplete_ip
189.238.27.237,ip address
1489,vlan id
ICMP,protocol
255.255.255.240,subnet mask
255.255.255.240,subnet mask
Tunnel1094,interface
service password-encryption,configuration command
176.144.46.164,ip address
RIP,protocol
Access-75,hostname
TenGigabitEthernet1/6,interface
383,vlan id
IPsec,protocol
af:43:e7:b3:29:9c,mac address
ICMP,protocol
1.93.255.102,ip address
Vlan785,interface
215,vlan id
Meraki MR46,device type
Aironet 3800,device type
ip nat outside,configuration command
255.255.255.0,subnet mask
90.232.43.208,ip address
255.0.0.0,subnet mask
255.255.255.128,subnet mask
Cisco 2901,device type
243.128.221.176,ip address
193.138.77.24,ip address
1b:04:1f:6e:c0:04,mac address
154,vlan id
switchport mode trunk,configuration command
HSRP,protocol
255.255.248.0,subnet mask
.250/25,uncomplete_ip
.8/24,uncomplete_ip
3573,vlan id
255.255.255.128,subnet mask
Server-84,hostname
access-list,configuration command
Cisco 4331,device type
184.98,uncomplete_ip
255.255.248.0,subnet mask
Linux Server,device type
164.228.174.52,ip address
6f:17:2a:11:e9:86,mac address
Access-15,hostname
3011,vlan id
12:e7:20:cb:e9:04,mac address
175.158.221.251,ip address
2157,vlan id
255.255.255.240,subnet mask
.108.104.200,uncomplete_ip
255.255.255.240,subnet mask
244.239.42.52,ip address
Nexus 9000,device type
249.81.243.82,ip address
ICMP,protocol
.101/11,uncomplete_ip
Linux Server,device type
Catalyst 9300,device type
67.9,uncomplete_ip
Server-30,hostname
Printer-65,hostname
Gateway-60,hostname
65.81.164.177,ip address
75.174.253.79,ip address
VRRP,protocol
show ip interface brief,configuration command
router ospf,configuration command
login local,configuration command
Linux Server,device type
ip domain-name,configuration command
RSTP,protocol
123.239,uncomplete_ip
1476,vlan id
255.255.255.0,subnet mask
c4:05:62:fb:ad:e5,mac address
Loopback1972,interface
26:d8:86:40:7f:bf,mac address
255.255.248.0,subnet mask
ISIS,protocol
b1:74:fd:c2:b8:af,mac address
Switch-02,hostname
Dist-15,hostname
ASA 5506-X,device type
GigabitEthernet7/25,interface
200.132.112.114,ip address
167.28.1.246,ip address
Catalyst 2960,device type
2239,vlan id
255.255.255.252,subnet mask
TenGigabitEthernet9/15,interface
ip access-group,configuration command
access-list,configuration command
Cisco 2901,device type
22:15:65:2f:37:a9,mac address
ICMP,protocol
FastEthernet2/29,interface
260,vlan id
128.115.134.122,ip address
Vlan2461,interface
ip access-group,configuration command
Tunnel2254,interface
.27.159.183,uncomplete_ip
GLBP,protocol
Access-62,hostname
Server-69,hostname
VRRP,protocol
cd:e2:2b:b7:7a:2f,mac address
2353,vlan id
TenGigabitEthernet3/12,interface
255.255.255.240,subnet mask
Meraki MR46,device type
Printer-38,hostname
.237.140.214,uncomplete_ip
Gateway-73,hostname
230,vlan id
FastEthernet7/34,interface
.6.20.152,uncomplete_ip
Linux Server,device type
Router-22,hostname
TenGigabitEthernet8/2,interface
PC-72,hostname
enable secret,configuration command
1891,vlan id
Aironet 3800,device type
Port-channel1725,interface
Port-channel3822,interface
353,vlan id
Tunnel2506,interface
Ethernet4/43,interface
HSRP,protocol
TenGigabitEthernet7/19,interface
ip domain-name,configuration command
DHCP,protocol
.194.242.145,uncomplete_ip
17:ef:dd:74:6d:a3,mac address
Router-61,hostname
2977,vlan id
Gateway-80,hostname
1553,vlan id
FastEthernet7/20,interface
2775,vlan id
3b:66:43:bb:ea:04,mac address
Switch-87,hostname
60.1.81.31,ip address
SNMP,protocol
2559,vlan id
enable secret,configuration command
742,vlan id
255.255.255.128,subnet mask
WLC-21,hostname
Loopback3573,interface
Port-channel2478,interface
Firepower 2100,device type
Gateway-59,hostname
Firepower 2100,device type
172.137.82.232,ip address
255.255.255.128,subnet mask
Access-73,hostname
Windows Server,device type
3c:30:42:bb:83:b5,mac address
Firewall-34,hostname
Aironet 3800,device type
1585,vlan id
DHCP,protocol
ICMP,protocol
51.144.142.10,ip address
NTP,protocol
LDP,protocol
Vlan2833,interface
.71.95,uncomplete_ip
.239/18,uncomplete_ip
243.14,uncomplete_ip
Gateway-83,hostname
Server-98,hostname
255.255.248.0,subnet mask
06:8c:ed:55:ca:74,mac address
show running-config,configuration command
Cisco 4331,device type
PC-83,hostname
PC-92,hostname
ip routing,configuration command
255.255.255.240,subnet mask
line vty 0 4,configuration command
1223,vlan id
137.184,uncomplete_ip
156.161.80.57,ip address
spanning-tree mode rapid-pvst,configuration command
.131.49,uncomplete_ip
Firepower 2100,device type
SNMP,protocol
Firepower 2100,device type
Dist-11,hostname
Printer-53,hostname
Core-19,hostname
line vty 0 4,configuration command
ip routing,configuration command
61:a7:3f:a5:1e:87,mac address
ip domain-name,configuration command
2068,vlan id
Ethernet8/33,interface
enable secret,configuration command
STP,protocol
AP-60,hostname
255.255.248.0,subnet mask
499,vlan id
96.141.148.188,ip address
no shutdown,configuration command
.125.40,uncomplete_ip
38:d3:9c:1e:eb:9e,mac address
Catalyst 2960,device type
switchport mode access,configuration command
221.135.125.191,ip address
PAgP,protocol
HTTP,protocol
AP-21,hostname
GLBP,protocol
23:91:9c:7a:26:c2,mac address
Cisco 2901,device type
ASA 5506-X,device type
90:f8:62:8f:eb:b1,mac address
IPsec,protocol
Nexus 9000,device type
Catalyst 2960,device type
Catalyst 3560,device type
197.251,uncomplete_ip
.145/10,uncomplete_ip
TenGigabitEthernet7/25,interface
.210.144.136,uncomplete_ip
Loopback824,interface
.164.209,uncomplete_ip
177.68.131.241,ip address
Gateway-37,hostname
RSTP,protocol
Edge-53,hostname
MPLS,protocol
255.255.255.240,subnet mask
router ospf,configuration command
255.255.255.252,subnet mask
255.255.248.0,subnet mask
Router-87,hostname
Tunnel1441,interface
221.79.140.126,ip address
.67.26.239,uncomplete_ip
Serial0/28,interface
OSPF,protocol
Dist-07,hostname
.202/19,uncomplete_ip
no shutdown,configuration command
MPLS,protocol
ASA 5506-X,device type
BGP,protocol
TenGigabitEthernet8/44,interface
0c:1d:16:c3:57:af,mac address
1732,vlan id
RIP,protocol
PAgP,protocol
c5:6c:f3:04:78:44,mac address
switchport mode trunk,configuration command
146.145,uncomplete_ip
AP-99,hostname
Catalyst 2960,device type
ISIS,protocol
GigabitEthernet5/42,interface
AP-45,hostname
router ospf,configuration command
login local,configuration command
LACP,protocol
08:74:f2:a0:69:24,mac address
3425,vlan id
IPsec,protocol
Edge-11,hostname
PC-07,hostname
Firewall-15,hostname
5c:29:c5:83:c6:ee,mac address
31.172.11.9,ip address
77.45,uncomplete_ip
LDP,protocol
SSH,protocol
248.182,uncomplete_ip
SNMP,protocol
STP,protocol
255.255.255.128,subnet mask
Tunnel1480,interface
VRRP,protocol
Ethernet4/38,interface
63.223.182.80,ip address
Server-48,hostname
Serial2/26,interface
Port-channel3158,interface
FastEthernet4/36,interface
129.57,uncomplete_ip
router ospf,configuration command
212.117.119.112,ip address
.158.215,uncomplete_ip
255.255.255.192,subnet mask
255.0.0.0,subnet mask
255.255.255.192,subnet mask
3171,vlan id
Catalyst 3560,device type
Catalyst 2960,device type
TFTP,protocol
.206/18,uncomplete_ip
login local,configuration command
2084,vlan id
Catalyst 2960,device type
RSTP,protocol
188.149.193.94,ip address
.9.85.202,uncomplete_ip
116.199.206.233,ip address
2730,vlan id
121.241,uncomplete_ip
PAgP,protocol
19.240.143.47,ip address
255.255.0.0,subnet mask
Linux Server,device type
Border-07,hostname
106.235.101.4,ip address
1845,vlan id
Loopback2491,interface
Tunnel3359,interface
Border-25,hostname
Tunnel4052,interface
GigabitEthernet2/13,interface
Meraki MR46,device type
crypto key generate rsa,configuration command
LDP,protocol
910,vlan id
Catalyst 9300,device type
show running-config,configuration command
Catalyst 2960,device type
255.0.0.0,subnet mask
ASA 5506-X,device type
5.60.59.145,ip address
ICMP,protocol
.178/19,uncomplete_ip
8e:d8:a3:23:02:fb,mac address
BGP,protocol
.212.165,uncomplete_ip
Linux Server,device type
STP,protocol
2a:a0:e2:c3:41:33,mac address
3c:d9:c7:dd:4f:92,mac address
Core-37,hostname
59.151.34.10,ip address
Cisco 4331,device type
AP-18,hostname
router ospf,configuration command
255.255.0.0,subnet mask
1189,vlan id
Catalyst 2960,device type
11.216,uncomplete_ip
Router-19,hostname
Port-channel1924,interface
Port-channel3331,interface
46.248.112.221,ip address
Telnet,protocol
155.209.115.254,ip address
Cisco 1941,device type
168.18,uncomplete_ip
54:1c:46:fb:2a:44,mac address
Loopback1589,interface
FastEthernet5/43,interface
Dist-91,hostname
427,vlan id
ISIS,protocol
enable secret,configuration command
router ospf,configuration command
Vlan2273,interface
Vlan1247,interface
ip routing,configuration command
.170.252.67,uncomplete_ip
ip access-group,configuration command
.99/18,uncomplete_ip
FastEthernet1/8,interface
transport input ssh,configuration command
TenGigabitEthernet9/1,interface
598,vlan id
DNS,protocol
2235,vlan id
151.179,uncomplete_ip
597,vlan id
18.191.14.234,ip address
Serial8/41,interface
RIP,protocol
Ethernet2/27,interface
spanning-tree mode rapid-pvst,configuration command
.131.230,uncomplete_ip
255.255.255.128,subnet mask
ed:a8:d0:17:a2:e7,mac address
Nexus 9000,device type
access-list,configuration command
255.255.248.0,subnet mask
255.255.0.0,subnet mask
transport input ssh,configuration command
router ospf,configuration command
255.255.255.252,subnet mask
237.158.236.196,ip address
OSPF,protocol
Port-channel2783,interface
195.216.89.176,ip address
25:1f:75:59:55:b2,mac address
3899,vlan id
227.93.136.51,ip address
255.255.0.0,subnet mask
255.255.255.192,subnet mask
Router-81,hostname
255.255.248.0,subnet mask
7.188.254.87,ip address
b4:ff:f3:fd:4e:6d,mac address
show running-config,configuration command
login local,configuration command
255.0.0.0,subnet mask
.217.56,uncomplete_ip
Catalyst 2960,device type
FastEthernet4/20,interface
11.119.140.190,ip address
3328,vlan id
255.255.255.192,subnet mask
Printer-27,hostname
255.255.0.0,subnet mask
110.140.50.132,ip address
255.255.248.0,subnet mask
switchport mode access,configuration command
Printer-23,hostname
255.255.255.0,subnet mask
184,vlan id
ip domain-name,configuration command
3692,vlan id
215.4.124.206,ip address
2207,vlan id
ip domain-name,configuration command
182.73,uncomplete_ip
255.255.248.0,subnet mask
dc:97:fb:e3:83:d9,mac address
255.255.255.192,subnet mask
Printer-33,hostname
GLBP,protocol
Gateway-87,hostname
STP,protocol
5f:02:58:60:9b:e7,mac address
UDP,protocol
Gateway-07,hostname
255.255.248.0,subnet mask
WLC-31,hostname
SNMP,protocol
switchport mode trunk,configuration command
36.199.222.128,ip address
255.255.255.0,subnet mask
Linux Server,device type
PAgP,protocol
9.11.113.170,ip address
show running-config,configuration command
Border-32,hostname
.163/25,uncomplete_ip
64:df:4e:7a:a7:34,mac address
1920,vlan id
Cisco 4331,device type
MPLS,protocol
.116.60,uncomplete_ip
3171,vlan id
.156.104.51,uncomplete_ip
c2:4d:7f:e1:19:9f,mac address
Edge-13,hostname
90:5f:c4:4a:c3:21,mac address
Port-channel3272,interface
Loopback3783,interface
WLC-33,hostname
LACP,protocol
38:00:63:f2:94:e3,mac address
2068,vlan id
Border-14,hostname
42.78.187.135,ip address
2744,vlan id
Cisco 2901,device type
255.255.255.252,subnet mask
GigabitEthernet0/28,interface
255.255.255.0,subnet mask
Cisco 2901,device type
Vlan2289,interface
.112.110,uncomplete_ip
Telnet,protocol
Catalyst 3560,device type
Port-channel2841,interface
GRE,protocol
OSPF,protocol
BGP,protocol
255.255.255.128,subnet mask
35.205.227.91,ip address
5d:f3:7d:02:97:27,mac address
6c:91:30:5f:17:b4,mac address
69.71.181.204,ip address
FTP,protocol
23:fb:83:e0:ff:34,mac address
3327,vlan id
Cisco 2901,device type
Border-05,hostname
Port-channel479,interface
89.39,uncomplete_ip
ip routing,configuration command
7e:8e:e8:43:b9:97,mac address
183.189.42.164,ip address
177.240.100.245,ip address
Linux Server,device type
UDP,protocol
service password-encryption,configuration command
.110.226.104,uncomplete_ip
HTTP,protocol
255.255.255.0,subnet mask
255.255.255.128,subnet mask
NTP,protocol
SSH,protocol
cb:a6:0e:37:61:cf,mac address
143.85.209.187,ip address
Loopback896,interface
255.0.0.0,subnet mask
244.92.132.94,ip address
Edge-74,hostname
DNS,protocol
255.255.255.240,subnet mask
Gateway-54,hostname
78.31.179.251,ip address
b5:b9:7e:cd:bf:1e,mac address
255.255.248.0,subnet mask
PAgP,protocol
119.52.20.174,ip address
255.255.255.240,subnet mask
207.210.58.81,ip address
18:72:b9:64:74:86,mac address
255.255.248.0,subnet mask
GRE,protocol
.204/19,uncomplete_ip
246.115.202.135,ip address
Catalyst 2960,device type
d2:08:6e:88:cd:15,mac address
Firepower 2100,device type
0e:f0:56:12:27:52,mac address
Edge-85,hostname
ip routing,configuration command
.72/17,uncomplete_ip
AP-10,hostname
.57/11,uncomplete_ip
VRRP,protocol
234.250.127.162,ip address
13:24:7e:04:c1:8a,mac address
12:1f:ca:69:3b:9f,mac address
17.238.104.129,ip address
1277,vlan id
116.238,uncomplete_ip
Vlan1383,interface
87.178,uncomplete_ip
Server-84,hostname
34.135.186.187,ip address
DNS,protocol
Serial5/35,interface
.245.253.70,uncomplete_ip
Access-37,hostname
152.146.148.46,ip address
255.255.0.0,subnet mask
Printer-86,hostname
770,vlan id
Nexus 9000,device type
.64.72.128,uncomplete_ip
GRE,protocol
225.253,uncomplete_ip
255.0.0.0,subnet mask
61:9c:bc:98:38:24,mac address
Vlan2291,interface
TenGigabitEthernet0/21,interface
TFTP,protocol
Catalyst 2960,device type
1c:db:f6:3a:44:7e,mac address
Windows Server,device type
GRE,protocol
255.255.255.240,subnet mask
6a:2a:b9:f7:d5:de,mac address
255.255.248.0,subnet mask
Server-78,hostname
255.255.255.240,subnet mask
255.255.255.0,subnet mask
Serial1/2,interface
Tunnel1397,interface
switchport mode access,configuration command
GigabitEthernet6/13,interface
53:f7:3c:15:a5:c3,mac address
Nexus 9000,device type
195.65.112.163,ip address
AP-48,hostname
17.183.160.67,ip address
.113.149,uncomplete_ip
service password-encryption,configuration command
TCP,protocol
PAgP,protocol
Cisco 1941,device type
DHCP,protocol
Meraki MR46,device type
f8:34:7b:66:62:93,mac address
227.188.234.194,ip address
643,vlan id
Cisco 4331,device type
255.255.248.0,subnet mask
.96/11,uncomplete_ip
Nexus 9000,device type
a1:0c:72:f5:35:cd,mac address
2568,vlan id
PC-73,hostname
.189/21,uncomplete_ip
no shutdown,configuration command
1993,vlan id
136.233.182.39,ip address
Serial1/20,interface
OSPF,protocol
Tunnel1038,interface
enable secret,configuration command
.196/29,uncomplete_ip
Core-20,hostname
Aironet 3800,device type
Cisco 2901,device type
show ip interface brief,configuration command
FastEthernet6/10,interface
WLC-61,hostname
Linux Server,device type
255.255.255.0,subnet mask
Nexus 9000,device type
42:37:29:82:91:65,mac address
.153/16,uncomplete_ip
141.228.184.8,ip address
d5:1d:67:5d:ab:10,mac address
107.167.241.198,ip address
Router-39,hostname
Firepower 2100,device type
67:5a:bf:bf:0a:08,mac address
Meraki MR46,device type
login local,configuration command
204.90.85.202,ip address
255.255.248.0,subnet mask
Loopback1149,interface
45.171.82.114,ip address
MPLS,protocol
209.120.113.3,ip address
Port-channel2996,interface
Server-18,hostname
Catalyst 9300,device type
89.34,uncomplete_ip
7a:41:5b:5a:f9:7c,mac address
switchport mode access,configuration command
line vty 0 4,configuration command
255.255.255.128,subnet mask
Serial1/5,interface
Meraki MR46,device type
MSTP,protocol
GigabitEthernet9/14,interface
ip nat inside,configuration command
spanning-tree mode rapid-pvst,configuration command
ICMP,protocol
f8:56:5e:19:65:7f,mac address
DHCP,protocol
Meraki MR46,device type
GigabitEthernet9/48,interface
87:45:c0:7f:af:33,mac address
ICMP,protocol
show ip interface brief,configuration command
Ethernet2/3,interface
8c:b3:70:8d:59:d7,mac address
ICMP,protocol
.255/23,uncomplete_ip
Catalyst 9300,device type
e3:2a:bc:81:4e:b4,mac address
.243.213.22,uncomplete_ip
crypto key generate rsa,configuration command
TenGigabitEthernet7/32,interface
Firepower 2100,device type
3b:dd:ac:89:51:fd,mac address
Laptop-40,hostname
57.91.197.194,ip address
c2:08:e5:98:12:c1,mac address
119.219.12.213,ip address
15:76:ac:f4:3d:8c,mac address
TCP,protocol
.172.125,uncomplete_ip
255.255.255.240,subnet mask
.55/25,uncomplete_ip
.160/22,uncomplete_ip
FastEthernet5/1,interface
255.255.255.252,subnet mask
28:eb:11:a0:9d:63,mac address
Cisco 4331,device type
Serial5/14,interface
90:50:66:67:f6:2a,mac address
Gateway-86,hostname
Catalyst 9300,device type
Telnet,protocol
Serial5/2,interface
2519,vlan id
Firewall-55,hostname
Dist-13,hostname
.94/27,uncomplete_ip
Serial2/10,interface
255.255.248.0,subnet mask
router bgp,configuration command
255.255.255.252,subnet mask
Firewall-62,hostname
140.173.253.133,ip address
Loopback54,interface
FastEthernet8/41,interface
.241/8,uncomplete_ip
.140.122,uncomplete_ip
switchport mode access,configuration command
.56/25,uncomplete_ip
Serial1/13,interface
42.218.243.255,ip address
Router-87,hostname
AP-31,hostname
155.219.230.139,ip address
show ip interface brief,configuration command
255.0.0.0,subnet mask
Loopback3627,interface
.81/15,uncomplete_ip
Router-03,hostname
AP-77,hostname
Border-07,hostname
4053,vlan id
FTP,protocol
Cisco 2901,device type
Cisco 1941,device type
Loopback321,interface
ac:0a:30:b5:66:6e,mac address
line vty 0 4,configuration command
1547,vlan id
255.255.255.0,subnet mask
255.255.255.252,subnet mask
Port-channel3919,interface
2300,vlan id
87,vlan id
32:2d:3b:68:4c:d1,mac address
.11.240.128,uncomplete_ip
access-list,configuration command
Port-channel46,interface
line vty 0 4,configuration command
114.14.93.20,ip address
Printer-29,hostname
2181,vlan id
Firepower 2100,device type
db:b5:cc:c7:90:dc,mac address
187.249.41.173,ip address
.230.75,uncomplete_ip
e3:0e:26:6d:d4:1c,mac address
WLC-56,hostname
255.255.255.240,subnet mask
.173.40.245,uncomplete_ip
f0:7b:4a:0d:37:cf,mac address
255.255.255.240,subnet mask
Gateway-51,hostname
174.32.181.79,ip address
Edge-02,hostname
FastEthernet1/12,interface
217,vlan id
3640,vlan id
160.218.228.227,ip address
enable secret,configuration command
ICMP,protocol
.225.46,uncomplete_ip
255.255.0.0,subnet mask
83.165,uncomplete_ip
GigabitEthernet9/35,interface
6f:72:ca:6d:22:b9,mac address
d8:d0:5f:d7:b7:36,mac address
Edge-75,hostname
HTTPS,protocol
255.255.0.0,subnet mask
Server-19,hostname
b3:4e:60:d8:a3:af,mac address
3992,vlan id
68:b9:e1:de:a6:e4,mac address
255.255.255.240,subnet mask
e5:5e:7a:8c:5b:7e,mac address
11.123.1.78,ip address
b8:49:8d:04:62:05,mac address
155.28.251.53,ip address
STP,protocol
LDP,protocol
.76.69,uncomplete_ip
Catalyst 2960,device type
HTTP,protocol
4a:00:4f:26:96:d9,mac address
11:4c:1e:7e:36:95,mac address
spanning-tree mode rapid-pvst,configuration command
1352,vlan id
84:b5:5c:0a:d2:f5,mac address
61.96.180.164,ip address
GRE,protocol
255.255.0.0,subnet mask
36.223.25.12,ip address
255.255.255.252,subnet mask
.83.225,uncomplete_ip
255.255.255.240,subnet mask
Loopback3127,interface
ISIS,protocol
Loopback152,interface
RSTP,protocol
Cisco 2901,device type
Loopback81,interface
enable secret,configuration command
254.215.168.143,ip address
89.228,uncomplete_ip
b7:70:d7:09:36:8f,mac address
ip nat outside,configuration command
255.255.255.252,subnet mask
login local,configuration command
b8:28:3d:4e:36:e3,mac address
router bgp,configuration command
d6:b8:d6:b6:42:fa,mac address
.185.153,uncomplete_ip
2833,vlan id
59.114.76.234,ip address
TenGigabitEthernet8/34,interface
93:ae:25:34:20:94,mac address
Ethernet9/1,interface
252.153,uncomplete_ip
255.255.0.0,subnet mask
02:a2:63:7c:f4:de,mac address
GigabitEthernet8/24,interface
